,name,province,postalCode,categories,primaryCategories,Compound Sentiment,reviews.summary,reviews.total,popular.keywords,average.rating
0,11th Avenue Hotel Hostel,CO,80203,"Hotel & Motel,  Motel,  Lodging,  Hostels,  Hotel",Accommodation & Food Services,0.3506,"My fianc and I booked our last night in Denver here, we were looking for a good deal and have stayed in at least 20 other hostels internationally so thought we'd give 11th Avenue a chance. We came up to the room that night after dinner and immediately thought everything looked dinghy",1,"[('night', 2.0), ('11th', 1.0), ('20', 1.0), ('avenue', 1.0), ('booked', 1.0)]",1.0
1,1906 Lodge At Coronado Beach,CA,92118,"Accommodations & Lodging,  Hotel & Motel,  Hotel & Motel reservations,  Resorts,  Resorts & Vacation Cottages,  Hotel",Accommodation & Food Services,0.95,It's hard to know where to begin describing all the positive aspects of staying there! We had an absolutely delightful stay at the charming 1906 Lodge.,1,"[('1906', 1.0), ('absolutely', 1.0), ('aspects', 1.0), ('bikes', 1.0), ('breakfast', 1.0)]",5.0
2,21c Museum Hotel Lexington,KY,40507,"Restaurants,  Hotel & Motel,  Hotel",Accommodation & Food Services,0.77275,"The workout room is tiny with 2 treadmills and 2 cheap elliptical machines that rocked off the floor when in use. The attention to detail is impressive, from the thicker rimmed water glasses to the extra fluffy towels.",2,"[('hotel', 3.0), ('adventurous', 1.0), ('art', 1.0), ('attention', 1.0), ('cheap', 1.0)]",2.5
3,250 Main Hotel,ME,4841,"Motel,  Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Hotel",Accommodation & Food Services,0.89495,"This is a jewel for Rockland maine, a must stay for the art lover and inspiration for the artist when visiting the area. I had the pleasure of staying at the 250 Main Hotel a number of times since it opened in April.",2,"[('hotel', 3.0), ('250', 2.0), ('main', 2.0), ('stay', 2.0), ('staying', 2.0)]",5.0
4,402 Hotel #Thebigo,NE,68102,"Hotel & Motel,  Hotel & Motel reservations,  Lodging,  Hotel & Motel consultants,  Hotel",Accommodation & Food Services,0.9456,Great lobby - the renovation of the lobby and the rooms really makes this place a comfortable and affordable spot in downtown Omaha. Nice to have a place to relax and work in the lobby.,1,"[('lobby', 3.0), ('spot', 2.0), ('affordable', 1.0), ('comfortable', 1.0), ('cool', 1.0)]",4.0
5,AC Hotel Chicago Downtown,IL,60611,Hotel,Accommodation & Food Services,0.40343999999999997,It was conveniently located close to public transportation and made it easy for all of us to get there.  Good: The staff was very friendly and helpful when we asked for directions.,10,"[('location', 8.0), ('bad', 7.0), ('told', 4.0), ('15', 3.0), ('chicago', 3.0)]",4.15
6,AC Hotel Miami Beach,FL,33140,Hotel,Accommodation & Food Services,0.9814,"The property is beautifully appointed, with cool, industrial, minimalist decor and an unbeatable location in South Beach. They went out of their way to make sure that our stay was memorable (honeymoon, same-sex couple).",1,"[('stay', 2.0), ('2016', 1.0), ('appointed', 1.0), ('april', 1.0), ('beach', 1.0)]",5.0
7,AC Hotel by Marriott Boston Downtown,MA,2118,Hotel,Accommodation & Food Services,0.4007,Good: Staff was very accommodating even those we shared elevator rides with. Location was central and easy to walk places.,1,"[('accommodating', 1.0), ('bad', 1.0), ('central', 1.0), ('change', 1.0), ('easy', 1.0)]",5.0
8,APPLE Inn,TX,75224,"Hotel & Motel,  Motel,  Hotel,  Lodging",Accommodation & Food Services,0.7939499999999999,"This place was great, from the outside it looks like the old style hotels but the rooms have been remodeled and they did a great job, of all the places we stayed during our mini vacation, this by far was the nicest! Th price was cheap but the whole area doesn't look safe or proper for a family.",2,"[('price', 2.0), ('cheap', 1.0), ('clean', 1.0), ('downtown', 1.0), ('eat', 1.0)]",3.0
9,ARIA Resort Casino,NV,89158,"Casino,  Resort,  Resorts,  Hotel",Accommodation & Food Services,0.7367661870503597,"More  I was skeptical about this hotel after experiencing Area coffee on the lobby level of this hotel, but have to say I am positively surprised. everybody who likes a nice style and high quality would be happy to stay here.",139,"[('aria', 89.0), ('hotel', 85.0), ('vegas', 50.0), ('stay', 47.66291359021032), ('staff', 40.0)]",4.5
