Unnamed: 0,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Total Reviews,Average Rating
0,1906 Lodge At Coronado Beach,CA,92118,"Accommodations & Lodging,  Hotel & Motel reservations,  Resorts & Vacation Cottages,  Resorts,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
1,250 Main Hotel,ME,4841,"Hotel & Motel reservations,  Motel,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,5
2,AC Hotel Chicago Downtown,IL,60611,Hotel,Accommodation & Food Services,1,11,4
3,AC Hotel Miami Beach,FL,33140,Hotel,Accommodation & Food Services,1,1,5
4,AC Hotel by Marriott Boston Downtown,MA,2118,Hotel,Accommodation & Food Services,0,1,5
5,ARIA Resort Casino,NV,89158,"Casino,  Hotel,  Resorts,  Resort",Accommodation & Food Services,1,139,4
6,Acadia Suites,ME,4609,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,2,5
7,Ace Hotel Chicago,IL,60611,Hotel,Accommodation & Food Services,1,4,5
8,Ace Hotel New Orleans,LA,70130-3511,"Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,3
9,Admiral Hotel,TX,76006,"Hotel & Motel,  Hotel,  Hotel North Arlington",Accommodation & Food Services,-0,1,2
10,Admiral's Ocean Inn,ME,4915,"Lodging,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,2,1
11,Alakai Hotel & Suites,WI,53965,"Lodging,  Hotel & Motel,  Hotel,  Motel",Accommodation & Food Services,1,1,5
12,Alamo Motel,CA,93440,"Motel,  Hotel & Motel,  Hotel,  Hotel & Motel reservations",Accommodation & Food Services,0,1,3
13,Algoma Beach Motel,WI,54201,"Business Hotel,  Resorts,  Family-friendly Hotel,  Lodging,  Motel,  Hotel & Motel,  Boutique Hotel,  Hotel,  Corporate Lodging",Accommodation & Food Services,1,1,4
14,Alicia's Eagle Rock Lodge,AK,99611,"Travel and Tourism,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,3
15,Aloft Arundel Mills,MD,21076,"Travel agencies and bureaus,  Hotel & Motel Management,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,6,4
16,Aloft Bolingbrook,IL,60440,"Lodging,  Travel agencies and bureaus,  Hotel & Motel,  Hotel",Accommodation & Food Services,0,1,5
17,Aloft Buffalo Airport,NY,14225,"Travel and Tourism,  Hotel & Motel reservations,  Lodging,  Hotel & Motel,  Airports,  Hotel",Accommodation & Food Services,1,5,4
18,Aloft Cleveland Downtown,OH,44113,"Real estate,  Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,3,4
19,Aloft Denver Downtown,CO,80202,"Lodging,  Hotel Central Business District,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,1,5
20,Aloft Detroit at The David Whitney,MI,48226,"Lodging,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
21,Aloft Durham Downtown,NC,27701,"Travel and Tourism,  Hotel Bull Durham,  Lodging,  Motel,  Hotel & Motel,  Hotel",Accommodation & Food Services,1,2,4
22,Aloft Greenville Downtown,SC,29601,"Lodging,  Hotel & Motel,  Hotel,  Hotel Downtown Greenville",Accommodation & Food Services,1,1,5
