Hotel Name,Correlation (Winter),Correlation (Spring),Correlation (Summer),Correlation (Autumn),Correlation
11th Avenue Hotel Hostel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
1906 Lodge At Coronado Beach,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
21c Museum Hotel Lexington,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
250 Main Hotel,Data not enough,0.9999999999999999,-0.9999999999999999,Data not enough,Not enough data
402 Hotel #Thebigo,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
AC Hotel Chicago Downtown,-0.4295798392810343,0.014830969122260467,-0.011294887656613736,0.4227105735673924,Not enough data
AC Hotel Miami Beach,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
AC Hotel by Marriott Boston Downtown,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
APPLE Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
ARIA Resort Casino,0.061151282895528784,0.04983083218574355,0.0013050426594033628,-0.1155851512940923,0.07026562430147561
Acadia Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Ace Hotel Chicago,Data not enough,Data not enough,-0.7365977472324345,0.7365977472324347,Not enough data
Ace Hotel New Orleans,Data not enough,-0.9980801108444817,Data not enough,0.9980801108444819,Not enough data
Ace Hotel-new Orleans,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Admiral Hotel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Admiral's Ocean Inn,Data not enough,Data not enough,0.9999999999999999,-0.9999999999999999,Not enough data
Adobe Hacienda Motel,0.9999999999999999,-0.9999999999999999,Data not enough,Data not enough,Not enough data
Aerostay Hotel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Agate Beach Motel,Data not enough,Data not enough,-0.5639394493900828,0.5639394493900828,Not enough data
Alakai Hotel & Suites,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Alamar Resort Inn,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Alamo Motel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Algoma Beach Motel,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Alicia's Eagle Rock Lodge,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
All Seasons Resort,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Allstate Inn,1.0,Data not enough,-1.0,Data not enough,Not enough data
Aloft Arundel Mills,Data not enough,-0.6854681446069285,0.6854681446069285,Data not enough,Not enough data
Aloft Atlanta Downtown,0.15571901057957507,-0.025902719869620127,0.11659933874844781,-0.20702682923682666,0.08635970030022315
Aloft Bolingbrook,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Aloft Buffalo Airport,Data not enough,0.01896843610215135,-0.018968436102151286,Data not enough,Not enough data
Aloft Cleveland Downtown,-0.9437990931670023,Data not enough,0.18566109039206194,0.75813800277494,0.75813800277494
Aloft Dallas Downtown,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Aloft Denver Downtown,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Aloft Detroit At The David Whitney,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Aloft Detroit at The David Whitney,Data not enough,Data not enough,Data not enough,Data not enough,Not enough data
Aloft Durham Downtown,Data not enough,-1.0,1.0,Data not enough,Not enough data
