,Hotel Name,Province,Country,ReviewDate,Review,Compound Sentiment
0,Rancho Valencia Resort Spa,CA,US,2013-11-14T00:00:00Z,Our experience at Rancho Valencia was absolutely perfect from beginning to end!!!! We felt special and very happy during our stayed. I would come back in a heart beat!!!,0.9162
1,Rancho Valencia Resort Spa,CA,US,2014-07-06T00:00:00Z,Amazing place. Everyone was extremely warm and welcoming. We've stayed at some top notch places and this is definitely in our top 2. Great for a romantic getaway or take the kids along as we did. Had a couple stuffed animals waiting for our girls upon arrival. Can't wait to go back.,0.965
2,Rancho Valencia Resort Spa,CA,US,2015-01-02T00:00:00Z,"We booked a 3 night stay at Rancho Valencia to play some tennis, since it is one of the highest rated tennis resorts in America. This place is really over the top from a luxury standpoint and overall experience. The villas are really perfect, the staff is great, attention to details (includes fresh squeezed orange juice each morning), restaurants, bar and room service amazing, and the tennis program was really impressive as well. We will want to come back here again.",0.9748
3,Aloft Arundel Mills,MD,US,2016-05-15T00:00:00Z,Currently in bed writing this for the past hr 1/2 there have been dogs barking and squealing call the front desk to advise basically to be told there's nothing they can do. 315.00 and I can't sleep.,0.0
4,Aloft Arundel Mills,MD,US,2016-07-09T00:00:00Z,I live in Md and the Aloft is my Home away from home...we stayed 1 night 7-7-16 ...Staff is great ! Especially Olivia who was Extra special because she remembered me by my voice over the phone ...which tells me she is very alert and pays attention to the customer their needs.AND SHE DID ! Thumbs up... More,0.8713
5,Aloft Arundel Mills,MD,US,2016-06-11T00:00:00Z,"I stayed here with my family for my daughters wedding. It had a very accommodating staff, Olivia was excellent. The rooms were very well maintained. Would highly recommend this hotel, especially if your wedding venue is Celebrations at the Bay!",0.8473
6,Aloft Arundel Mills,MD,US,2016-04-30T00:00:00Z,"Beautiful rooms and the nicest people working there. The front desk lady, Olivia, was extremely patient and helpful. We had lots of questions and she had just as many answers. The rooms were sleek and modern. The only thing that would make this hotel better would be free breakfast, but I really am asking for a lot. A++ stay. Thank... More",0.8263
7,Aloft Arundel Mills,MD,US,2016-06-24T00:00:00Z,"We stayed here while visiting Maryland Live!. Cute hotel in a great location. Clean, with a very modern look, upgraded bathrooms and amenities and super nice staff. Would definitely recommend and stay there again!",0.9694
8,Aloft Arundel Mills,MD,US,2016-05-29T00:00:00Z,"I travel a lot with my job, so I'm constantly staying at hotels. When my co-workers and I arrived late last night at the Aloft the people at the front desk were more than welcoming. When I wanted to order room service I was told it was too late however, Olivia at the front desk informed me of a Italian... More",0.4902
9,Hampton Inn Suites PortlandVancouver,WA,US,2016-01-26T00:00:00Z,"In my line of work, I use meeting space in hotels often. In my 15+ years of doing this work, this is the first time I've felt the undeniable pull to go out and write a hotel review, based solely on my meeting room experience. Though I did not use a guest room here, my colleagues who did shared that... More",0.34
10,Hampton Inn Suites PortlandVancouver,WA,US,2016-05-03T00:00:00Z,"The staff is very friendly and helpful. The rooms are large and nicely furnished. Feels new, as if we were the first to stay there. Actually it is more opulent than I require. The free breakfast was good with sufficient choices including fresh fruit salad, eggs, bacon, bagels and pastries and more. It was a great location for our purpose:... More",0.9695
11,Hampton Inn Suites PortlandVancouver,WA,US,2016-01-30T00:00:00Z,"Very friendly staff, great free breakfast items each morning, room and facilities very clean, staff superb! We had a problem with the heating system in our room and they had someone fix it within minutes! Would highly recommend this location/hotel.",0.9647
12,Hampton Inn Suites PortlandVancouver,WA,US,2016-03-11T00:00:00Z,"Upon arriving I see modern yet elegant decor which is pleasing to the eye. The front staff are very friendly. The room was clean including details, I'm talking no dust,no hair in bathroom-shower or beds which I tend to find in other hotels. Kudos to housekeeping. Sheets were crisp,beds were comfortable especially since this is a newer hotel. Breakfast in... More",0.9524
13,Hampton Inn Suites PortlandVancouver,WA,US,2016-06-21T00:00:00Z,This is a nice hotel with great staff. I have young children and the entire staff from the front desk staff to the breakfast staff were there to help us. This was our first visit to the Portland area and we plan to go back later this summer. We will stay at this hotel when we return.,0.8625
14,Hampton Inn Suites PortlandVancouver,WA,US,2016-06-21T00:00:00Z,"Beautiful property and every staff member I encountered (front desk, housekeeping, breakfast hosts and GM) provided beyond excellent customer service! It's also conveniently located near restaurants, grocery stores starbucks and is a short drive to the freeways. I will definitely be back!",0.8975
15,Hotel Phillips,MO,US,2015-09-14T00:00:00Z,Old hotel with many remaining architectural charms and most modern amenities. The staff is exceptional: friendly and very accommodating. Has a little bit of the wear tear around the edges associated with an historic building but remarkably clean. Passed the allergy test.,0.7929
16,Hotel Phillips,MO,US,2015-11-26T00:00:00Z,Very comfortable room. Our son came and they had a couch that they pulled out into a queen size bed. Free wifi and bottled water. This hotel was built back in the 20's and the decor is fabulous. A very neat hotel.,0.9272
17,Hotel Phillips,MO,US,2016-01-30T00:00:00Z,Stayed here for second time recently. Gorgeous lobby. Friendly staff. Good free shuttle service. Our room this time was disappointing. King bed in too small space so that one side did not even have a lamp. Also the heating/cooling unit was right next to the bed and very noisy so we turned it off. Luckily it was not needed. Room... More,0.9119
18,Hotel Phillips,MO,US,2015-12-13T00:00:00Z,"My husband and I always try to stay at the Hotel Phillips when we are in Kansas City. It is our favorite hotel and we have stayed at many. I feel at home there and the staff has always been exceptional, although we are not particularly demanding guests. Over the years we have probably spent at least 20 nights there.... More",0.5971
19,Hotel Phillips,MO,US,2015-09-07T00:00:00Z,"Just stayed one night but very happy. Nice, comfortable top floor room. Staff could not have been more helpful. Great location right by the Power Light district. Be prepared to pay for valet parking. Price of this was Offset though by free wine and cheese reception.",0.9883
20,The Inn at Solvang,PA,US,2015-05-03T00:00:00Z,"Everything was sold out in State College for Garth's concerts and the Inn came up as available...what an amazing find!! I'll be making the drive now each visit, just to stay there! The Inn is wonderfully decorated and I so enjoyed browsing all the books. Breakfast was amazing each morning. Thank you Stephanie and team!!",0.9657
21,Econolodge,GA,US,2016-02-08T00:00:00Z,I work here in Perry about 6 days out of the week. The People here are very friendly and willing to make your stay better. The hotel is great for my simple needs as I'm away from home. The rooms and hallways smell very clean each time I enter and leave. I will continue my business here for sure.,0.9391
22,Hotel Zelos,CA,US,2016-05-02T00:00:00Z,"The hotel is just one of many that are on this new trend of firmer pillows and mattresses. This is the third hotel I have stayed in the last few months that have had firmer vs softer mattresses in their rooms. Aside from the bed The room was well appointed, comfortable and really The bonus Those super plushy and comfy robes in the closet. I miss a good hotel robe and this one had one!! Another little thing I loved was the spa water and coffee service in the lobby. High quality coffee and the New York Times Count me in! The maid service was friendly, attentive, and I even got a little note. Would totally stay again.",0.9725
23,Hotel Zelos,CA,US,2016-05-13T00:00:00Z,"excellent location near convention center. friendly, willing staff. not a true luxury hotel in terms of the room I received, but a comfortable clean room, I didn't really need any more than that. After all you're here to visit San Francisco, not the hotel.",0.8953
