,Hotel Name,Province,Postal,Category,SubCategory,Compound Sentiment,Review Summary,Total Reviews,Popular Keywords,Average Rating
0,1906 Lodge At Coronado Beach,CA,92118,"Resorts & Vacation Cottages,Hotels and motels,Hotel and motel reservations,Resorts,Hotels Motels,Accommodations & Lodging,Hotels & Motels,Hotel",Accommodation & Food Services,0.95,It's hard to know where to begin describing all the positive aspects of staying there! We had an absolutely delightful stay at the charming 1906 Lodge.,1,"[('1906', 0.18257418583505536), ('absolutely', 0.18257418583505536), ('aspects', 0.18257418583505536), ('available', 0.18257418583505536), ('begin', 0.18257418583505536)]",5.0
1,250 Main Hotel,ME,4841,"Hotels and motels,Hotel and motel reservations,Hotels,Motels,Lodging,Hotel",Accommodation & Food Services,0.9726,"This is a jewel for Rockland maine, a must stay for the art lover and inspiration for the artist when visiting the area. I had the pleasure of staying at the 250 Main Hotel a number of times since it opened in April.",2,"[('area', 0.39213810855804804), ('hotel', 0.38899854423417424), ('250', 0.35065482674697823), ('main', 0.35065482674697823), ('staying', 0.35065482674697823)]",5.0
2,AC Hotel Chicago Downtown,IL,60611,"Hotels,Hotel",Accommodation & Food Services,0.9966,It was conveniently located close to public transportation and made it easy for all of us to get there. Good: The staff was very friendly and helpful when we asked for directions.,11,"[('good', 1.5490770324041243), ('location', 1.0887071091319604), ('bad', 1.0243698592400947), ('pool', 1.0143155141953033), ('room', 0.706043528414549)]",4.08
3,AC Hotel Miami Beach,FL,33140,"Hotels,Hotel",Accommodation & Food Services,0.9814,"The property is beautifully appointed, with cool, industrial, minimalist decor and an unbeatable location in South Beach. They went out of their way to make sure that our stay was memorable (honeymoon, same-sex couple).",1,"[('stay', 0.3287979746107146), ('2016', 0.1643989873053573), ('appointed', 0.1643989873053573), ('april', 0.1643989873053573), ('beach', 0.1643989873053573)]",5.0
4,AC Hotel by Marriott Boston Downtown,MA,2118,"Hotels,Hotel",Accommodation & Food Services,0.4007,Good: Staff was very accommodating even those we shared elevator rides with. Location was central and easy to walk places.,1,"[('accommodating', 0.24253562503633297), ('bad', 0.24253562503633297), ('central', 0.24253562503633297), ('change', 0.24253562503633297), ('dont', 0.24253562503633297)]",5.0
5,ARIA Resort Casino,NV,89158,"Hotels,Casinos,Resorts,Resort,Casino,Hotel",Accommodation & Food Services,1.0,"More  I was skeptical about this hotel after experiencing Area coffee on the lobby level of this hotel, but have to say I am positively surprised. everybody who likes a nice style and high quality would be happy to stay here.",139,"[('room', 7.775448684190961), ('aria', 7.232441204061295), ('hotel', 7.0285998614748495), ('great', 6.246670751068335), ('check', 5.909073101460449)]",4.5
6,Acadia Suites,ME,4609,"Hotels,Lodging,Motels,Hotels Motels,Hotel",Accommodation & Food Services,0.9668,"Acadia Suites had been our wonderful home away from home several times in the past, and it didn't disappoint this time. Location - great, a short walk to the Bar Harbor shops, restaurants and village green bus stops (The Island...",2,"[('suites', 0.44211318531141325), ('bar', 0.33794114657144786), ('harbor', 0.33794114657144786), ('home', 0.33794114657144786), ('acadia', 0.2811685699331674)]",5.0
7,Ace Hotel Chicago,IL,60611,"Hotels,Hotel",Accommodation & Food Services,0.9459, Good: The staff was really friendly and the free coffee was good. The hotel's restaurant was quite good too.  ,4,"[('good', 1.0887898359842096), ('friendly', 0.5566483232126899), ('staff', 0.5566483232126899), ('awesome', 0.5528053199908667), ('bed', 0.5528053199908667)]",4.65
8,Ace Hotel New Orleans,LA,70130-3511,"Hotels,Hotels and motels,Hotel Central Business District,Hotel",Accommodation & Food Services,0.9885,"Why only 3 stars This hotel was obviously a factory or warehouse at one stage, so the concrete support column in the bedroom is a necessity. Didn't take me long to realize that the Ace has focused on aesthetics rather than service.",3,"[('minutes', 0.3954515780715219), ('great', 0.3422089897727637), ('hotel', 0.3422089897727637), ('dining', 0.3220014985539621), ('enjoyed', 0.3220014985539621)]",3.33
9,Admiral Hotel,TX,76006,"Hotels and motels,Hotel North Arlington,Hotel",Accommodation & Food Services,-0.296,room did not come with a refridge or micro. iron worked poorly along with the hair dryer. drain for the tube work poorly and took quite a while to drain.,1,"[('room', 0.50709255283711), ('drain', 0.3380617018914066), ('poorly', 0.3380617018914066), ('came', 0.1690308509457033), ('checked', 0.1690308509457033)]",2.0
10,Admiral's Ocean Inn,ME,4915,"Hotels,Lodging,Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotels & Motels",Accommodation & Food Services,0.34,The guest that were there looked as though they lived there the room next to us had a plant hanging up in the window. More  I was trying to save money when I booked a room here for three nights.,2,"[('sink', 0.44018228010441723), ('room', 0.2950594932048153), ('say', 0.2950594932048153), ('bed', 0.21073080913663883), ('enameled', 0.21073080913663883)]",1.0
11,Alakai Hotel & Suites,WI,53965,"Hotels and motels,Hotels,Lodging,Motels,Hotel",Accommodation & Food Services,0.704,"It was just my husband and I and we didn't have time for the pool amenities, so I... More It was VERY VERY clean and reasonably priced, but the furnishings were outdated.",1,"[('dells', 0.42640143271122083), ('room', 0.42640143271122083), ('amenities', 0.21320071635561041), ('arriving', 0.21320071635561041), ('certainly', 0.21320071635561041)]",5.0
12,Alamo Motel,CA,93440,"Hotels and motels,Hotel and motel reservations,Motel,Hotels Motels,Hotel",Accommodation & Food Services,0.4934,"A day before our stay I looked at the Alamo's web site, which advised that one needs to call the motel to get a refurbished room. I'd read an article saying that all the rooms had been refurbished, so I thought I was OK.",1,"[('refurbished', 0.3922322702763681), ('advised', 0.19611613513818404), ('alamo', 0.19611613513818404), ('article', 0.19611613513818404), ('calling', 0.19611613513818404)]",3.0
